"subject","block","trial","condition","change","responses","time","prev_condition","prev_change","color","answer_change","answer_correct","signal_detection","age","color_text","signal_detection_text"
101,1,1,4,1,202,977,0,0,6,1,1,3,"young","schwarz","hit"
101,1,2,4,0,201,1012,4,1,6,0,1,1,"young","schwarz","correct rejection"
101,1,3,6,0,212,1295,4,0,4,1,0,0,"young","gelb","false alarm"
101,1,4,2,0,201,1759,6,0,2,0,1,1,"young","grün","correct rejection"
101,1,5,2,0,201,756,2,0,5,0,1,1,"young","pink","correct rejection"
101,1,6,4,1,202,1377,2,0,6,1,1,3,"young","schwarz","hit"
101,1,7,8,1,211,2621,4,1,5,0,0,2,"young","pink","miss"
101,1,8,2,1,202,1167,8,1,5,1,1,3,"young","pink","hit"
101,1,9,8,0,212,1428,2,1,1,1,0,0,"young","rot","false alarm"
101,1,10,4,1,202,879,8,0,4,1,1,3,"young","gelb","hit"
101,1,11,6,0,201,1950,4,1,5,0,1,1,"young","pink","correct rejection"
101,1,12,8,1,202,1244,6,0,8,1,1,3,"young","türkis","hit"
101,1,13,6,0,201,3700,8,1,5,0,1,1,"young","pink","correct rejection"
101,1,14,8,0,212,1020,6,0,4,1,0,0,"young","gelb","false alarm"
101,1,15,4,0,212,2679,8,0,1,1,0,0,"young","rot","false alarm"
101,1,16,4,0,212,1773,4,0,5,1,0,0,"young","pink","false alarm"
101,1,17,2,1,202,1034,4,0,3,1,1,3,"young","blau","hit"
101,1,18,6,1,202,1779,2,1,4,1,1,3,"young","gelb","hit"
101,1,19,8,1,202,1456,6,1,2,1,1,3,"young","grün","hit"
101,1,20,4,0,201,1609,8,1,1,0,1,1,"young","rot","correct rejection"
101,1,21,4,1,202,1821,4,0,4,1,1,3,"young","gelb","hit"
101,1,22,4,1,202,2151,4,1,5,1,1,3,"young","pink","hit"
101,1,23,6,1,202,1765,4,1,1,1,1,3,"young","rot","hit"
101,1,24,2,1,202,928,6,1,2,1,1,3,"young","grün","hit"
101,1,25,2,0,201,1510,2,1,1,0,1,1,"young","rot","correct rejection"
101,1,26,4,0,212,1782,2,0,6,1,0,0,"young","schwarz","false alarm"
101,1,27,6,1,202,2114,4,0,5,1,1,3,"young","pink","hit"
101,1,28,6,1,202,1801,6,1,6,1,1,3,"young","schwarz","hit"
101,1,29,8,0,201,2259,6,1,5,0,1,1,"young","pink","correct rejection"
101,1,30,8,0,212,2188,8,0,1,1,0,0,"young","rot","false alarm"
101,1,31,8,1,211,1440,8,0,1,0,0,2,"young","rot","miss"
101,1,32,8,1,202,1643,8,1,7,1,1,3,"young","orange","hit"
101,1,33,6,1,202,1371,8,1,4,1,1,3,"young","gelb","hit"
101,1,34,4,0,201,1800,6,1,4,0,1,1,"young","gelb","correct rejection"
101,1,35,2,0,201,859,4,0,4,0,1,1,"young","gelb","correct rejection"
101,1,36,2,1,202,1084,2,0,7,1,1,3,"young","orange","hit"
101,1,37,6,0,212,1468,2,1,1,1,0,0,"young","rot","false alarm"
101,1,38,4,0,201,3876,6,0,2,0,1,1,"young","grün","correct rejection"
101,1,39,8,0,201,1477,4,0,1,0,1,1,"young","rot","correct rejection"
101,1,40,6,0,212,1158,8,0,5,1,0,0,"young","pink","false alarm"
101,1,41,6,0,201,1738,6,0,5,0,1,1,"young","pink","correct rejection"
101,1,42,4,1,202,937,6,0,7,1,1,3,"young","orange","hit"
101,1,43,2,0,201,1270,4,1,3,0,1,1,"young","blau","correct rejection"
101,1,44,6,1,202,1486,2,0,1,1,1,3,"young","rot","hit"
101,1,45,2,0,201,1159,6,1,2,0,1,1,"young","grün","correct rejection"
101,1,46,6,0,212,1252,2,0,3,1,0,0,"young","blau","false alarm"
101,1,47,6,1,202,2917,6,0,1,1,1,3,"young","rot","hit"
101,1,48,6,0,201,3666,6,1,5,0,1,1,"young","pink","correct rejection"
