"subject","age","condition","totalCases","correct_answer","mean_answer_correct","mean_response_time","median_response_time","falseAlarm","correct_rejection","miss","hit","noChangeTotal","changeTotal","falseAlarmRate","hitRate","kPashler","k","joinKey"
101,"young",2,64,63,0.984375,969.328125,886,1,31,0,32,32,32,0.03125,1,2,1.9375,"1012"
101,"young",4,65,60,0.923076923076923,1272.26153846154,1082,5,27,0,33,32,33,0.15625,1,4,3.375,"1014"
101,"young",6,66,51,0.772727272727273,1585.27272727273,1333,13,21,2,30,34,32,0.382352941176471,0.9375,5.39285714285714,3.33088235294118,"1016"
101,"young",8,65,43,0.661538461538462,1655.73846153846,1428,19,14,3,29,33,32,0.575757575757576,0.90625,6.23214285714286,2.64393939393939,"1018"
102,"young",2,66,64,0.96969696969697,1151.98484848485,866,1,31,1,33,32,34,0.03125,0.970588235294118,1.9392789373814,1.87867647058824,"1022"
102,"young",4,66,57,0.863636363636364,1269.04545454545,1000.5,7,27,2,30,34,32,0.205882352941176,0.9375,3.68518518518519,2.92647058823529,"1024"
102,"young",6,64,44,0.6875,1395.40625,1142.5,15,17,5,27,32,32,0.46875,0.84375,4.23529411764706,2.25,"1026"
102,"young",8,64,40,0.625,1640.265625,1116.5,18,14,6,26,32,32,0.5625,0.8125,4.57142857142857,2,"1028"
103,"young",2,64,64,1,895.609375,790,0,32,0,32,32,32,0,1,2,2,"1032"
103,"young",4,67,63,0.940298507462687,970.044776119403,819,3,29,1,34,32,35,0.09375,0.971428571428571,3.87389162561576,3.51071428571429,"1034"
103,"young",6,64,55,0.859375,1081.84375,953,6,26,3,29,32,32,0.1875,0.90625,5.30769230769231,4.3125,"1036"
103,"young",8,65,48,0.738461538461539,1175.26153846154,958,11,21,6,27,32,33,0.34375,0.818181818181818,5.78354978354978,3.79545454545455,"1038"
104,"young",2,64,63,0.984375,450.375,430.5,1,31,0,32,32,32,0.03125,1,2,1.9375,"1042"
104,"young",4,66,54,0.818181818181818,623.878787878788,537,10,23,2,31,33,33,0.303030303030303,0.939393939393939,3.65217391304348,2.54545454545455,"1044"
104,"young",6,65,42,0.646153846153846,681.107692307692,643,17,15,6,27,32,33,0.53125,0.818181818181818,3.67272727272727,1.72159090909091,"1046"
104,"young",8,65,43,0.661538461538462,785.938461538462,635,16,16,6,27,32,33,0.5,0.818181818181818,5.09090909090909,2.54545454545455,"1048"
105,"young",2,67,66,0.985074626865672,471.268656716418,455,0,33,1,33,33,34,0,0.970588235294118,1.94117647058824,1.94117647058824,"1052"
105,"young",4,64,55,0.859375,547.203125,526,6,26,3,29,32,32,0.1875,0.90625,3.53846153846154,2.875,"1054"
105,"young",6,65,47,0.723076923076923,569.292307692308,561,13,19,5,28,32,33,0.40625,0.848484848484849,4.4688995215311,2.65340909090909,"1056"
105,"young",8,64,42,0.65625,565.890625,538.5,18,14,4,28,32,32,0.5625,0.875,5.71428571428571,2.5,"1058"
106,"young",2,64,63,0.984375,726.875,627,1,31,0,32,32,32,0.03125,1,2,1.9375,"1062"
106,"young",4,66,63,0.954545454545455,744.636363636364,694,1,32,2,31,33,33,0.0303030303030303,0.939393939393939,3.75,3.63636363636364,"1064"
106,"young",6,65,53,0.815384615384615,935.261538461538,806,8,24,4,29,32,33,0.25,0.878787878787879,5.03030303030303,3.77272727272727,"1066"
106,"young",8,65,47,0.723076923076923,1078.09230769231,871,16,16,2,31,32,33,0.5,0.939393939393939,7.03030303030303,3.51515151515152,"1068"
107,"young",2,64,62,0.96875,1016.71875,850,2,30,0,32,32,32,0.0625,1,2,1.875,"1072"
107,"young",4,65,54,0.830769230769231,1172.35384615385,1076,11,21,0,33,32,33,0.34375,1,4,2.625,"1074"
107,"young",6,65,44,0.676923076923077,1305.69230769231,1093,19,13,2,31,32,33,0.59375,0.939393939393939,5.10489510489511,2.07386363636364,"1076"
107,"young",8,66,41,0.621212121212121,1380.72727272727,1219,21,12,4,29,33,33,0.636363636363636,0.878787878787879,5.33333333333333,1.93939393939394,"1078"
108,"young",2,65,62,0.953846153846154,487.184615384615,460,3,30,0,32,33,32,0.0909090909090909,1,2,1.81818181818182,"1082"
108,"young",4,64,55,0.859375,532.171875,502,8,24,1,31,32,32,0.25,0.96875,3.83333333333333,2.875,"1084"
108,"young",6,64,39,0.609375,628.984375,557,19,13,6,26,32,32,0.59375,0.8125,3.23076923076923,1.3125,"1086"
108,"young",8,67,42,0.626865671641791,596.432835820896,565,21,12,4,30,33,34,0.636363636363636,0.882352941176471,5.41176470588235,1.96791443850267,"1088"
109,"young",2,64,63,0.984375,478.765625,469,0,32,1,31,32,32,0,0.96875,1.9375,1.9375,"1092"
109,"young",4,65,58,0.892307692307692,593.461538461538,552,6,27,1,31,33,32,0.181818181818182,0.96875,3.84722222222222,3.14772727272727,"1094"
109,"young",6,65,49,0.753846153846154,700.076923076923,668,15,18,1,31,33,32,0.454545454545455,0.96875,5.65625,3.08522727272727,"1096"
109,"young",8,66,42,0.636363636363636,738,666,21,13,3,29,34,32,0.617647058823529,0.90625,6.03846153846154,2.30882352941176,"1098"
110,"young",2,65,61,0.938461538461538,538.261538461538,522,2,31,2,30,33,32,0.0606060606060606,0.9375,1.86693548387097,1.75378787878788,"1102"
110,"young",4,64,62,0.96875,591.671875,559,0,32,2,30,32,32,0,0.9375,3.75,3.75,"1104"
110,"young",6,65,53,0.815384615384615,676.846153846154,601,5,27,7,26,32,33,0.15625,0.787878787878788,4.49158249158249,3.78977272727273,"1106"
110,"young",8,66,45,0.681818181818182,683.712121212121,627,14,19,7,26,33,33,0.424242424242424,0.787878787878788,5.05263157894737,2.90909090909091,"1108"
