"subject","block","trial","condition","setsize","change","time","responses","time_1","Pic","prev_condition","prev_setsize","prev_change","prev_time","answer_change","answer_correct","signal_detection","age","condition_text","signal_detection_text","pic_num"
101,1,1,3,4,0,2000,201,1035,"NoChange",0,0,0,NA,0,1,1,"young","state","correct rejection",0
101,1,2,1,4,1,2000,202,806,"9",3,4,0,2000,1,1,3,"young","novel","hit",9
101,1,3,3,4,1,2000,202,1338,"1",1,4,1,2000,1,1,3,"young","state","hit",1
101,1,4,3,2,1,2000,202,1264,"2",3,4,1,2000,1,1,3,"young","state","hit",2
101,1,5,3,6,1,2000,202,1151,"3",3,2,1,2000,1,1,3,"young","state","hit",3
101,1,6,3,2,0,2000,201,1389,"NoChange",3,6,1,2000,0,1,1,"young","state","correct rejection",0
101,1,7,2,2,0,2000,201,1146,"NoChange",3,2,0,2000,0,1,1,"young","exemplar","correct rejection",0
101,1,8,2,4,1,2000,202,1896,"1",2,2,0,2000,1,1,3,"young","exemplar","hit",1
101,1,9,2,4,1,2000,202,932,"2",2,4,1,2000,1,1,3,"young","exemplar","hit",2
101,1,10,3,2,1,2000,202,1432,"4",2,4,1,2000,1,1,3,"young","state","hit",4
101,1,11,1,6,0,2000,201,958,"NoChange",3,2,1,2000,0,1,1,"young","novel","correct rejection",0
101,1,12,4,6,0,2000,201,1465,"NoChange",1,6,0,2000,0,1,1,"young","feature","correct rejection",0
101,1,13,4,6,0,2000,201,670,"NoChange",4,6,0,2000,0,1,1,"young","feature","correct rejection",0
101,1,14,3,4,0,2000,201,1709,"NoChange",4,6,0,2000,0,1,1,"young","state","correct rejection",0
101,1,15,1,4,0,2000,201,671,"NoChange",3,4,0,2000,0,1,1,"young","novel","correct rejection",0
101,1,16,2,2,0,2000,201,654,"NoChange",1,4,0,2000,0,1,1,"young","exemplar","correct rejection",0
101,1,17,4,6,1,2000,202,1031,"1",2,2,0,2000,1,1,3,"young","feature","hit",1
101,1,18,1,6,1,2000,202,861,"69",4,6,1,2000,1,1,3,"young","novel","hit",69
101,1,19,2,6,0,2000,201,837,"NoChange",1,6,1,2000,0,1,1,"young","exemplar","correct rejection",0
101,1,20,2,4,0,2000,201,739,"NoChange",2,6,0,2000,0,1,1,"young","exemplar","correct rejection",0
101,1,21,1,2,0,2000,201,788,"NoChange",2,4,0,2000,0,1,1,"young","novel","correct rejection",0
101,1,22,2,6,0,2000,201,834,"NoChange",1,2,0,2000,0,1,1,"young","exemplar","correct rejection",0
101,1,23,4,2,1,2000,202,990,"2",2,6,0,2000,1,1,3,"young","feature","hit",2
101,1,24,3,6,0,2000,201,3525,"NoChange",4,2,1,2000,0,1,1,"young","state","correct rejection",0
101,1,25,4,4,0,2000,201,965,"NoChange",3,6,0,2000,0,1,1,"young","feature","correct rejection",0
101,1,26,4,4,1,2000,202,1042,"3",4,4,0,2000,1,1,3,"young","feature","hit",3
101,1,27,3,4,1,2000,202,1317,"5",4,4,1,2000,1,1,3,"young","state","hit",5
101,1,28,2,6,1,2000,202,862,"3",3,4,1,2000,1,1,3,"young","exemplar","hit",3
101,1,29,1,2,1,2000,202,830,"112",2,6,1,2000,1,1,3,"young","novel","hit",112
101,1,30,2,2,1,2000,202,1087,"4",1,2,1,2000,1,1,3,"young","exemplar","hit",4
101,1,31,3,6,1,2000,202,1560,"6",2,2,1,2000,1,1,3,"young","state","hit",6
101,1,32,1,6,0,2000,212,1046,"NoChange",3,6,1,2000,1,0,0,"young","novel","false alarm",0
101,1,33,4,2,0,2000,201,452,"NoChange",1,6,0,2000,0,1,1,"young","feature","correct rejection",0
101,1,34,4,4,1,2000,202,814,"4",4,2,0,2000,1,1,3,"young","feature","hit",4
101,1,35,1,4,0,2000,201,811,"NoChange",4,4,1,2000,0,1,1,"young","novel","correct rejection",0
101,1,36,3,2,0,2000,201,1049,"NoChange",1,4,0,2000,0,1,1,"young","state","correct rejection",0
101,1,37,2,6,1,2000,202,901,"5",3,2,0,2000,1,1,3,"young","exemplar","hit",5
101,1,38,1,4,1,2000,202,919,"145",2,6,1,2000,1,1,3,"young","novel","hit",145
101,1,39,1,2,1,2000,202,796,"148",1,4,1,2000,1,1,3,"young","novel","hit",148
101,1,40,4,2,1,2000,202,821,"5",1,2,1,2000,1,1,3,"young","feature","hit",5
101,1,41,1,2,0,2000,201,929,"NoChange",4,2,1,2000,0,1,1,"young","novel","correct rejection",0
101,1,42,4,4,0,2000,212,870,"NoChange",1,2,0,2000,1,0,0,"young","feature","false alarm",0
101,1,43,2,2,1,2000,202,1118,"6",4,4,0,2000,1,1,3,"young","exemplar","hit",6
101,1,44,1,6,1,2000,202,763,"163",2,2,1,2000,1,1,3,"young","novel","hit",163
101,1,45,4,6,1,2000,202,777,"6",1,6,1,2000,1,1,3,"young","feature","hit",6
101,1,46,4,2,0,2000,201,1120,"NoChange",4,6,1,2000,0,1,1,"young","feature","correct rejection",0
101,1,47,2,4,0,2000,201,1589,"NoChange",4,2,0,2000,0,1,1,"young","exemplar","correct rejection",0
101,1,48,3,6,0,2000,201,962,"NoChange",2,4,0,2000,0,1,1,"young","state","correct rejection",0
101,2,1,4,6,0,2000,201,1195,"NoChange",0,0,0,NA,0,1,1,"young","feature","correct rejection",0
101,2,2,2,4,0,2000,201,1276,"NoChange",4,6,0,2000,0,1,1,"young","exemplar","correct rejection",0
101,2,3,2,4,1,2000,202,950,"7",2,4,0,2000,1,1,3,"young","exemplar","hit",7
101,2,4,2,2,0,2000,201,1148,"NoChange",2,4,1,2000,0,1,1,"young","exemplar","correct rejection",0
101,2,5,3,4,0,2000,201,715,"NoChange",2,2,0,2000,0,1,1,"young","state","correct rejection",0
101,2,6,1,2,0,2000,201,707,"NoChange",3,4,0,2000,0,1,1,"young","novel","correct rejection",0
101,2,7,4,6,0,2000,201,880,"NoChange",1,2,0,2000,0,1,1,"young","feature","correct rejection",0
101,2,8,3,6,0,2000,201,601,"NoChange",4,6,0,2000,0,1,1,"young","state","correct rejection",0
101,2,9,3,2,1,2000,202,893,"7",3,6,0,2000,1,1,3,"young","state","hit",7
101,2,10,1,4,0,2000,201,1177,"NoChange",3,2,1,2000,0,1,1,"young","novel","correct rejection",0
101,2,11,2,4,0,2000,201,750,"NoChange",1,4,0,2000,0,1,1,"young","exemplar","correct rejection",0
101,2,12,1,6,0,2000,212,1393,"NoChange",2,4,0,2000,1,0,0,"young","novel","false alarm",0
101,2,13,4,6,1,2000,202,940,"7",1,6,0,2000,1,1,3,"young","feature","hit",7
101,2,14,4,6,1,2000,202,819,"8",4,6,1,2000,1,1,3,"young","feature","hit",8
101,2,15,2,6,1,2000,202,1101,"8",4,6,1,2000,1,1,3,"young","exemplar","hit",8
101,2,16,4,2,1,2000,202,1007,"9",2,6,1,2000,1,1,3,"young","feature","hit",9
101,2,17,4,4,1,2000,202,956,"10",4,2,1,2000,1,1,3,"young","feature","hit",10
101,2,18,3,2,1,2000,202,785,"8",4,4,1,2000,1,1,3,"young","state","hit",8
101,2,19,1,2,1,2000,202,870,"251",3,2,1,2000,1,1,3,"young","novel","hit",251
101,2,20,2,2,1,2000,202,1858,"9",1,2,1,2000,1,1,3,"young","exemplar","hit",9
101,2,21,1,6,0,2000,212,1421,"NoChange",2,2,1,2000,1,0,0,"young","novel","false alarm",0
101,2,22,2,6,0,2000,201,760,"NoChange",1,6,0,2000,0,1,1,"young","exemplar","correct rejection",0
101,2,23,1,4,1,2000,202,1024,"269",2,6,0,2000,1,1,3,"young","novel","hit",269
101,2,24,3,6,1,2000,202,4225,"9",1,4,1,2000,1,1,3,"young","state","hit",9
101,2,25,3,4,1,2000,202,1273,"10",3,6,1,2000,1,1,3,"young","state","hit",10
101,2,26,4,4,0,2000,201,1021,"NoChange",3,4,1,2000,0,1,1,"young","feature","correct rejection",0
101,2,27,1,4,0,2000,201,726,"NoChange",4,4,0,2000,0,1,1,"young","novel","correct rejection",0
101,2,28,2,4,1,2000,202,5863,"10",1,4,0,2000,1,1,3,"young","exemplar","hit",10
101,2,29,1,2,0,2000,201,760,"NoChange",2,4,1,2000,0,1,1,"young","novel","correct rejection",0
101,2,30,3,2,0,2000,201,1113,"NoChange",1,2,0,2000,0,1,1,"young","state","correct rejection",0
101,2,31,1,6,1,2000,202,855,"299",3,2,0,2000,1,1,3,"young","novel","hit",299
101,2,32,1,2,1,2000,202,939,"302",1,6,1,2000,1,1,3,"young","novel","hit",302
101,2,33,2,2,0,2000,201,1255,"NoChange",1,2,1,2000,0,1,1,"young","exemplar","correct rejection",0
101,2,34,3,6,0,2000,201,2659,"NoChange",2,2,0,2000,0,1,1,"young","state","correct rejection",0
101,2,35,2,2,1,2000,202,828,"11",3,6,0,2000,1,1,3,"young","exemplar","hit",11
101,2,36,3,4,0,2000,201,1077,"NoChange",2,2,1,2000,0,1,1,"young","state","correct rejection",0
101,2,37,3,2,0,2000,201,890,"NoChange",3,4,0,2000,0,1,1,"young","state","correct rejection",0
101,2,38,4,2,0,2000,201,844,"NoChange",3,2,0,2000,0,1,1,"young","feature","correct rejection",0
101,2,39,4,4,0,2000,201,901,"NoChange",4,2,0,2000,0,1,1,"young","feature","correct rejection",0
101,2,40,2,6,1,2000,202,1093,"12",4,4,0,2000,1,1,3,"young","exemplar","hit",12
101,2,41,1,4,1,2000,202,963,"333",2,6,1,2000,1,1,3,"young","novel","hit",333
101,2,42,4,2,0,2000,201,865,"NoChange",1,4,1,2000,0,1,1,"young","feature","correct rejection",0
101,2,43,4,2,1,2000,202,877,"11",4,2,0,2000,1,1,3,"young","feature","hit",11
101,2,44,4,4,1,2000,202,1006,"12",4,2,1,2000,1,1,3,"young","feature","hit",12
101,2,45,1,6,1,2000,202,851,"346",4,4,1,2000,1,1,3,"young","novel","hit",346
101,2,46,3,6,1,2000,202,833,"11",1,6,1,2000,1,1,3,"young","state","hit",11
101,2,47,3,4,1,2000,202,1108,"12",3,6,1,2000,1,1,3,"young","state","hit",12
101,2,48,2,6,0,2000,212,1042,"NoChange",3,4,1,2000,1,0,0,"young","exemplar","false alarm",0
101,3,1,1,2,1,2000,202,802,"363",0,0,0,NA,1,1,3,"young","novel","hit",363
101,3,2,1,6,1,2000,202,739,"370",1,2,1,2000,1,1,3,"young","novel","hit",370
101,3,3,1,2,0,2000,201,921,"NoChange",1,6,1,2000,0,1,1,"young","novel","correct rejection",0
101,3,4,1,4,0,2000,201,636,"NoChange",1,2,0,2000,0,1,1,"young","novel","correct rejection",0
101,3,5,3,4,0,2000,201,1587,"NoChange",1,4,0,2000,0,1,1,"young","state","correct rejection",0
101,3,6,2,6,0,2000,212,885,"NoChange",3,4,0,2000,1,0,0,"young","exemplar","false alarm",0
101,3,7,2,2,1,2000,202,880,"13",2,6,0,2000,1,1,3,"young","exemplar","hit",13
101,3,8,2,6,1,2000,211,1493,"14",2,2,1,2000,0,0,2,"young","exemplar","miss",14
101,3,9,3,2,1,2000,202,803,"13",2,6,1,2000,1,1,3,"young","state","hit",13
