subject;age;setsize;totalCases;mean_answer_correct;mean_response_time;median_response_time;sum_answer_correct;sum_of_changes;sum_of_noChanges;falseAlarm;correct_rejections;miss;hit;totalOfChange;totalOfHit;falseAlarmRate;hitRate;k;kPashler;joinKey
101;young;2;192;0,9895833; 950,4688; 853,0;190;96;96; 1;95; 1;95;96;96;0,01041667;0,9895833;1,958333;1,978947;1012
101;young;4;192;0,9218750;1138,7396; 976,5;177;96;96; 7;89; 8;88;96;96;0,07291667;0,9166667;3,375000;3,640449;1014
101;young;6;192;0,8020833;1240,9688; 968,5;154;96;96;33;63; 5;91;96;96;0,34375000;0,9479167;3,625000;5,523810;1016
102;young;2;192;0,9583333;1024,6771; 929,0;184;96;96; 3;93; 5;91;96;96;0,03125000;0,9479167;1,833333;1,892473;1022
102;young;4;192;0,8750000;1216,2031;1001,0;168;96;96;13;83;11;85;96;96;0,13541667;0,8854167;3,000000;3,469880;1024
102;young;6;192;0,7916667;1324,1562;1024,0;152;96;96;19;77;21;75;96;96;0,19791667;0,7812500;3,500000;4,363636;1026
103;young;2;192;0,9791667;1045,1198; 862,0;188;96;96; 1;95; 3;93;96;96;0,01041667;0,9687500;1,916667;1,936842;1032
103;young;4;192;0,9010417;1258,4792; 920,5;173;96;96; 8;88;11;85;96;96;0,08333333;0,8854167;3,208333;3,500000;1034
103;young;6;192;0,8281250;1297,0677;1012,0;159;96;96;20;76;13;83;96;96;0,20833333;0,8645833;3,937500;4,973684;1036
104;young;2;192;0,9427083; 667,8542; 585,0;181;96;96; 3;93; 8;88;96;96;0,03125000;0,9166667;1,770833;1,827957;1042
104;young;4;192;0,8489583; 817,9479; 665,0;163;96;96; 7;89;22;74;96;96;0,07291667;0,7708333;2,791667;3,011236;1044
104;young;6;192;0,7500000; 862,8750; 738,5;144;96;96;32;64;16;80;96;96;0,33333333;0,8333333;3,000000;4,500000;1046
105;young;2;192;0,9218750; 654,1615; 584,5;177;96;96; 6;90; 9;87;96;96;0,06250000;0,9062500;1,687500;1,800000;1052
105;young;4;192;0,7968750; 738,2552; 657,0;153;96;96;26;70;13;83;96;96;0,27083333;0,8645833;2,375000;3,257143;1054
105;young;6;192;0,6875000; 763,4167; 673,0;132;96;96;51;45; 9;87;96;96;0,53125000;0,9062500;2,250000;4,800000;1056
106;young;2;192;0,9687500; 796,1302; 699,5;186;96;96; 0;96; 6;90;96;96;0,00000000;0,9375000;1,875000;1,875000;1062
106;young;4;192;0,9010417; 871,7292; 773,0;173;96;96; 8;88;11;85;96;96;0,08333333;0,8854167;3,208333;3,500000;1064
106;young;6;192;0,8072917;1042,9844; 829,0;155;96;96;22;74;15;81;96;96;0,22916667;0,8437500;3,687500;4,783784;1066
107;young;2;192;0,9062500;1071,2135; 834,5;174;96;96; 0;96;18;78;96;96;0,00000000;0,8125000;1,625000;1,625000;1072
107;young;4;192;0,8593750;1166,9948;1014,0;165;96;96; 9;87;18;78;96;96;0,09375000;0,8125000;2,875000;3,172414;1074
107;young;6;192;0,7500000;1270,5938;1098,5;144;96;96;26;70;22;74;96;96;0,27083333;0,7708333;3,000000;4,114286;1076
108;young;2;192;0,9270833; 716,4948; 626,5;178;96;96; 5;91; 9;87;96;96;0,05208333;0,9062500;1,708333;1,802198;1082
108;young;4;192;0,8177083; 779,6354; 679,0;157;96;96;12;84;23;73;96;96;0,12500000;0,7604167;2,541667;2,904762;1084
108;young;6;192;0,7187500; 785,5625; 690,0;138;96;96;29;67;25;71;96;96;0,30208333;0,7395833;2,625000;3,761194;1086
109;young;2;192;0,9114583; 646,4323; 549,0;175;96;96; 9;87; 8;88;96;96;0,09375000;0,9166667;1,645833;1,816092;1092
109;young;4;192;0,8437500; 663,4896; 613,5;162;96;96;16;80;14;82;96;96;0,16666667;0,8541667;2,750000;3,300000;1094
109;young;6;192;0,7708333; 713,6354; 652,5;148;96;96;36;60; 8;88;96;96;0,37500000;0,9166667;3,250000;5,200000;1096
110;young;2;192;0,9218750; 786,3854; 679,0;177;96;96; 5;91;10;86;96;96;0,05208333;0,8958333;1,687500;1,780220;1102
110;young;4;192;0,8229167; 779,8542; 691,5;158;96;96; 9;87;25;71;96;96;0,09375000;0,7395833;2,583333;2,850575;1104
110;young;6;192;0,7708333; 846,7396; 723,0;148;96;96;19;77;25;71;96;96;0,19791667;0,7395833;3,250000;4,051948;1106
111;young;2;192;0,9687500;1092,3229; 936,5;186;96;96; 2;94; 4;92;96;96;0,02083333;0,9583333;1,875000;1,914894;1112
111;young;4;192;0,8385417;1243,1615;1058,5;161;96;96;13;83;18;78;96;96;0,13541667;0,8125000;2,708333;3,132530;1114
111;young;6;192;0,7968750;1272,8385;1064,0;153;96;96;23;73;16;80;96;96;0,23958333;0,8333333;3,562500;4,684932;1116
112;young;2;192;0,9375000;1053,8177; 896,5;180;96;96; 7;89; 5;91;96;96;0,07291667;0,9479167;1,750000;1,887640;1122
112;young;4;192;0,8802083;1121,0312; 971,5;169;96;96; 7;89;16;80;96;96;0,07291667;0,8333333;3,041667;3,280899;1124
112;young;6;192;0,7760417;1186,0990; 990,5;149;96;96;26;70;17;79;96;96;0,27083333;0,8229167;3,312500;4,542857;1126
113;young;2;192;0,9270833; 746,2240; 626,0;178;96;96; 5;91; 9;87;96;96;0,05208333;0,9062500;1,708333;1,802198;1132
113;young;4;192;0,8593750; 793,6354; 650,0;165;96;96; 5;91;22;74;96;96;0,05208333;0,7708333;2,875000;3,032967;1134
113;young;6;192;0,7916667; 947,5625; 710,5;152;96;96;21;75;19;77;96;96;0,21875000;0,8020833;3,500000;4,480000;1136
114;young;2;192;0,9375000;1143,2604;1004,5;180;96;96; 3;93; 9;87;96;96;0,03125000;0,9062500;1,750000;1,806452;1142
114;young;4;192;0,7968750;1295,3021;1127,5;153;96;96;23;73;16;80;96;96;0,23958333;0,8333333;2,375000;3,123288;1144
114;young;6;192;0,7343750;1353,1823;1177,0;141;96;96;26;70;25;71;96;96;0,27083333;0,7395833;2,812500;3,857143;1146
115;young;2;192;0,9687500; 906,6771; 761,0;186;96;96; 3;93; 3;93;96;96;0,03125000;0,9687500;1,875000;1,935484;1152
115;young;4;192;0,8229167;1075,3854; 903,0;158;96;96;23;73;11;85;96;96;0,23958333;0,8854167;2,583333;3,397260;1154
115;young;6;192;0,7291667;1155,6354; 955,0;140;96;96;29;67;23;73;96;96;0,30208333;0,7604167;2,750000;3,940299;1156
