subject;age;setsize;condition;totalCases;mean_answer_correct;mean_response_time;median_response_time;sum_answer_correct;sum_of_changes;sum_of_noChanges;falseAlarm;correct_rejections;miss;hit;totalOfChange;totalOfHit;falseAlarmRate;hitRate;k;kPashler;joinKey
101;young;2;1;48;1,0000000; 904,7083; 815,0;48;24;24; 0;24; 0;24;24;24;0,00000000;1,0000000; 2,0000000; 2,0000000;1012
101;young;2;2;48;1,0000000; 955,4792; 876,0;48;24;24; 0;24; 0;24;24;24;0,00000000;1,0000000; 2,0000000; 2,0000000;1012
101;young;2;3;48;0,9791667;1092,0625; 900,5;47;24;24; 0;24; 1;23;24;24;0,00000000;0,9583333; 1,9166667; 1,9166667;1012
101;young;2;4;48;0,9791667; 849,6250; 803,5;47;24;24; 1;23; 0;24;24;24;0,04166667;1,0000000; 1,9166667; 2,0000000;1012
101;young;4;1;48;1,0000000; 970,2083; 929,0;48;24;24; 0;24; 0;24;24;24;0,00000000;1,0000000; 4,0000000; 4,0000000;1014
101;young;4;2;48;0,8958333;1296,0000;1007,5;43;24;24; 3;21; 2;22;24;24;0,12500000;0,9166667; 3,1666667; 3,6190476;1014
101;young;4;3;48;0,8541667;1311,8125;1122,0;41;24;24; 1;23; 6;18;24;24;0,04166667;0,7500000; 2,8333333; 2,9565217;1014
101;young;4;4;48;0,9375000; 976,9375; 903,5;45;24;24; 3;21; 0;24;24;24;0,12500000;1,0000000; 3,5000000; 4,0000000;1014
101;young;6;1;48;0,7708333;1312,4792; 950,5;37;24;24;11;13; 0;24;24;24;0,45833333;1,0000000; 3,2500000; 6,0000000;1016
101;young;6;2;48;0,8541667;1127,2917;1020,5;41;24;24; 4;20; 3;21;24;24;0,16666667;0,8750000; 4,2500000; 5,1000000;1016
101;young;6;3;48;0,7291667;1359,6875;1146,0;35;24;24;11;13; 2;22;24;24;0,45833333;0,9166667; 2,7500000; 5,0769231;1016
101;young;6;4;48;0,8541667;1164,4167; 898,5;41;24;24; 7;17; 0;24;24;24;0,29166667;1,0000000; 4,2500000; 6,0000000;1016
102;young;2;1;48;1,0000000; 907,3125; 836,0;48;24;24; 0;24; 0;24;24;24;0,00000000;1,0000000; 2,0000000; 2,0000000;1022
102;young;2;2;48;0,9375000;1141,5417; 987,0;45;24;24; 0;24; 3;21;24;24;0,00000000;0,8750000; 1,7500000; 1,7500000;1022
102;young;2;3;48;0,9166667;1036,4167; 991,5;44;24;24; 2;22; 2;22;24;24;0,08333333;0,9166667; 1,6666667; 1,8181818;1022
102;young;2;4;48;0,9791667;1013,4375; 914,5;47;24;24; 1;23; 0;24;24;24;0,04166667;1,0000000; 1,9166667; 2,0000000;1022
102;young;4;1;48;0,9375000;1043,9167; 954,0;45;24;24; 3;21; 0;24;24;24;0,12500000;1,0000000; 3,5000000; 4,0000000;1024
102;young;4;2;48;0,9583333;1527,2708;1071,5;46;24;24; 0;24; 2;22;24;24;0,00000000;0,9166667; 3,6666667; 3,6666667;1024
102;young;4;3;48;0,6666667;1253,5417;1132,0;32;24;24; 7;17; 9;15;24;24;0,29166667;0,6250000; 1,3333333; 1,8823529;1024
102;young;4;4;48;0,9375000;1040,0833; 917,5;45;24;24; 3;21; 0;24;24;24;0,12500000;1,0000000; 3,5000000; 4,0000000;1024
102;young;6;1;48;0,8958333;1277,3333;1015,5;43;24;24; 5;19; 0;24;24;24;0,20833333;1,0000000; 4,7500000; 6,0000000;1026
102;young;6;2;48;0,7291667;1242,4583;1035,0;35;24;24; 6;18; 7;17;24;24;0,25000000;0,7083333; 2,7500000; 3,6666667;1026
102;young;6;3;48;0,7083333;1531,2083;1141,5;34;24;24; 6;18; 8;16;24;24;0,25000000;0,6666667; 2,5000000; 3,3333333;1026
102;young;6;4;48;0,8333333;1245,6250; 946,0;40;24;24; 2;22; 6;18;24;24;0,08333333;0,7500000; 4,0000000; 4,3636364;1026
103;young;2;1;48;1,0000000; 938,6875; 796,0;48;24;24; 0;24; 0;24;24;24;0,00000000;1,0000000; 2,0000000; 2,0000000;1032
103;young;2;2;48;0,9791667;1141,1250; 933,5;47;24;24; 0;24; 1;23;24;24;0,00000000;0,9583333; 1,9166667; 1,9166667;1032
103;young;2;3;48;0,9583333;1160,8125; 970,5;46;24;24; 0;24; 2;22;24;24;0,00000000;0,9166667; 1,8333333; 1,8333333;1032
103;young;2;4;48;0,9791667; 939,8542; 818,0;47;24;24; 1;23; 0;24;24;24;0,04166667;1,0000000; 1,9166667; 2,0000000;1032
103;young;4;1;48;0,9166667;1278,7708; 888,0;44;24;24; 3;21; 1;23;24;24;0,12500000;0,9583333; 3,3333333; 3,8095238;1034
103;young;4;2;48;0,8958333;1205,2917; 936,5;43;24;24; 1;23; 4;20;24;24;0,04166667;0,8333333; 3,1666667; 3,3043478;1034
103;young;4;3;48;0,8125000;1394,2292;1039,5;39;24;24; 3;21; 6;18;24;24;0,12500000;0,7500000; 2,5000000; 2,8571429;1034
103;young;4;4;48;0,9791667;1155,6250; 882,5;47;24;24; 1;23; 0;24;24;24;0,04166667;1,0000000; 3,8333333; 4,0000000;1034
103;young;6;1;48;0,8750000;1218,6042; 936,5;42;24;24; 5;19; 1;23;24;24;0,20833333;0,9583333; 4,5000000; 5,6842105;1036
103;young;6;2;48;0,7708333;1375,3125;1048,5;37;24;24; 5;19; 6;18;24;24;0,20833333;0,7500000; 3,2500000; 4,1052632;1036
103;young;6;3;48;0,8541667;1280,5000;1044,0;41;24;24; 4;20; 3;21;24;24;0,16666667;0,8750000; 4,2500000; 5,1000000;1036
103;young;6;4;48;0,8125000;1313,8542; 958,5;39;24;24; 6;18; 3;21;24;24;0,25000000;0,8750000; 3,7500000; 5,0000000;1036
104;young;2;1;48;1,0000000; 552,9375; 520,0;48;24;24; 0;24; 0;24;24;24;0,00000000;1,0000000; 2,0000000; 2,0000000;1042
104;young;2;2;48;0,9166667; 723,2500; 581,5;44;24;24; 2;22; 2;22;24;24;0,08333333;0,9166667; 1,6666667; 1,8181818;1042
104;young;2;3;48;0,8750000; 767,9375; 630,5;42;24;24; 0;24; 6;18;24;24;0,00000000;0,7500000; 1,5000000; 1,5000000;1042
104;young;2;4;48;0,9791667; 627,2917; 636,0;47;24;24; 1;23; 0;24;24;24;0,04166667;1,0000000; 1,9166667; 2,0000000;1042
104;young;4;1;48;0,9375000; 702,1250; 630,0;45;24;24; 3;21; 0;24;24;24;0,12500000;1,0000000; 3,5000000; 4,0000000;1044
104;young;4;2;48;0,7500000; 876,8542; 678,5;36;24;24; 3;21; 9;15;24;24;0,12500000;0,6250000; 2,0000000; 2,2857143;1044
104;young;4;3;48;0,8125000; 916,2292; 710,5;39;24;24; 1;23; 8;16;24;24;0,04166667;0,6666667; 2,5000000; 2,6086957;1044
