"subject","age","setsize","totalCases","mean_answer_correct","mean_response_time","median_response_time","sum_answer_correct","sum_of_changes","sum_of_noChanges","falseAlarm","correct_rejections","miss","hit","totalOfChange","totalOfHit","falseAlarmRate","hitRate","k","kPashler","joinKey"
101,"young",2,192,0.989583333333333,950.46875,853,190,96,96,1,95,1,95,96,96,0.0104166666666667,0.989583333333333,1.95833333333333,1.97894736842105,"1012"
101,"young",4,192,0.921875,1138.73958333333,976.5,177,96,96,7,89,8,88,96,96,0.0729166666666667,0.916666666666667,3.375,3.64044943820225,"1014"
101,"young",6,192,0.802083333333333,1240.96875,968.5,154,96,96,33,63,5,91,96,96,0.34375,0.947916666666667,3.625,5.52380952380952,"1016"
102,"young",2,192,0.958333333333333,1024.67708333333,929,184,96,96,3,93,5,91,96,96,0.03125,0.947916666666667,1.83333333333333,1.89247311827957,"1022"
102,"young",4,192,0.875,1216.203125,1001,168,96,96,13,83,11,85,96,96,0.135416666666667,0.885416666666667,3,3.46987951807229,"1024"
102,"young",6,192,0.791666666666667,1324.15625,1024,152,96,96,19,77,21,75,96,96,0.197916666666667,0.78125,3.5,4.36363636363636,"1026"
103,"young",2,192,0.979166666666667,1045.11979166667,862,188,96,96,1,95,3,93,96,96,0.0104166666666667,0.96875,1.91666666666667,1.93684210526316,"1032"
103,"young",4,192,0.901041666666667,1258.47916666667,920.5,173,96,96,8,88,11,85,96,96,0.0833333333333333,0.885416666666667,3.20833333333333,3.5,"1034"
103,"young",6,192,0.828125,1297.06770833333,1012,159,96,96,20,76,13,83,96,96,0.208333333333333,0.864583333333333,3.9375,4.97368421052632,"1036"
104,"young",2,192,0.942708333333333,667.854166666667,585,181,96,96,3,93,8,88,96,96,0.03125,0.916666666666667,1.77083333333333,1.82795698924731,"1042"
104,"young",4,192,0.848958333333333,817.947916666667,665,163,96,96,7,89,22,74,96,96,0.0729166666666667,0.770833333333333,2.79166666666667,3.01123595505618,"1044"
104,"young",6,192,0.75,862.875,738.5,144,96,96,32,64,16,80,96,96,0.333333333333333,0.833333333333333,3,4.5,"1046"
105,"young",2,192,0.921875,654.161458333333,584.5,177,96,96,6,90,9,87,96,96,0.0625,0.90625,1.6875,1.8,"1052"
105,"young",4,192,0.796875,738.255208333333,657,153,96,96,26,70,13,83,96,96,0.270833333333333,0.864583333333333,2.375,3.25714285714286,"1054"
